id,date,item
1,1/2/2017,A
1,1/10/2017,B
1,1/11/2017,C
1,1/12/2017,Y
1,1/20/2017,D
2,12/20/2016,A
2,1/5/2017,X
2,1/18/2017,B
2,1/20/2017,C
2,1/22/2017,A
2,1/23/2017,E
2,2/1/2017,Z
3,2/2/2017,A
3,2/3/2017,I
3,2/8/2017,Z
3,2/18/2017,K
3,2/20/2017,L
3,2/22/2017,M
4,8/28/2016,A
4,8/31/2016,L
4,9/6/2016,D
4,9/10/2016,E
5,11/1/2016,I
5,11/4/2016,J
5,11/23/2016,B
5,12/7/2016,K
5,12/24/2016,L
6,8/9/2016,I
6,8/12/2016,J
6,10/24/2016,L
6,10/29/2016,M
7,1/1/2017,I
7,1/2/2017,J
7,1/23/2017,K
7,2/10/2017,J
7,2/11/2017,K
7,2/14/2017,L
7,2/26/2017,M
8,12/15/2015,I
8,12/17/2015,M
8,6/6/2016,K
8,7/21/2016,K
8,7/22/2016,M
8,2/22/2017,L
8,2/24/2017,M
9,1/13/2017,J
9,1/22/2017,K
9,2/1/2017,L
9,2/4/2017,M
10,1/18/2017,V
10,2/24/2017,Z
10,1/27/2017,K
10,1/28/2017,W
